,player.id_in_group,player.wtp_voting_cost,player.is_large_team,player.is_large_team_pq,player.is_winner,player.is_winner_pq,player.voting_cost,player.vote,player.temp_payoff,group.small_team_vote_count,group.large_team_vote_count,group.small_team_win,group.small_team_vote_count_pq,group.large_team_vote_count_pq,group.small_team_win_pq,group.total_vote_count_pq,player.Q2_vote,player.Q2_vote_pq,player.Q2_no_vote,player.Q2_no_vote_pq,player.Q2_willingness_to_pay,player.Q3_vote,player.Q3_vote_pq,player.Q3_no_vote,player.Q3_no_vote_pq,player.Q3_willingness_to_pay,player.Q4_vote,player.Q4_vote_pq,player.Q4_no_vote,player.Q4_no_vote_pq,player.Q4_willingness_to_pay,player.Q5_vote,player.Q5_vote_pq,player.Q5_no_vote,player.Q5_no_vote_pq,player.Q5_willingness_to_pay,player.Q6_vote,player.Q6_vote_pq,player.Q6_no_vote,player.Q6_no_vote_pq,player.Q6_willingness_to_pay,treatment,round_num,session,sb_condition,bb_pq
0,1,44,1,1,1,0,93,0,50,2,3,0,3,2,1,5,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,1,0826_a_treatment,bb,different
1,1,36,1,1,1,0,31,1,19,0,3,0,0,3,1,3,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,2,0826_a_treatment,bb,same
2,1,0,0,0,1,1,81,0,100,3,1,1,3,1,1,4,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,3,0826_a_treatment,ss,
3,1,0,1,0,1,1,69,0,100,0,3,0,2,1,1,3,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,4,0826_a_treatment,bs,
4,1,0,0,1,1,0,57,0,50,2,1,1,1,2,1,3,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,5,0826_a_treatment,sb,
5,1,0,1,0,1,1,88,0,100,0,2,0,2,0,1,2,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,6,0826_a_treatment,bs,
6,1,0,1,0,0,1,97,0,50,2,1,1,0,3,1,3,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,7,0826_a_treatment,bs,
7,1,0,0,1,1,0,21,0,50,2,2,1,1,3,1,4,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,8,0826_a_treatment,sb,
8,1,0,0,1,0,0,97,0,0,3,5,0,4,4,1,8,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,9,0826_a_treatment,sb,
9,1,0,0,0,0,1,35,0,50,1,4,0,1,4,1,5,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,10,0826_a_treatment,ss,
10,1,0,0,1,1,0,70,0,50,1,1,1,1,1,1,2,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,11,0826_a_treatment,sb,
11,1,0,0,1,0,0,28,0,0,0,1,0,1,0,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,12,0826_a_treatment,sb,
12,1,0,0,0,0,1,73,0,50,0,1,0,0,1,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,13,0826_a_treatment,ss,
13,1,0,1,1,1,0,83,0,50,0,3,0,0,3,1,3,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,14,0826_a_treatment,bb,same
14,1,0,0,1,1,0,87,0,50,2,0,1,0,2,1,2,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,15,0826_a_treatment,sb,
15,1,0,1,1,1,0,54,0,50,0,3,0,0,3,1,3,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,16,0826_a_treatment,bb,same
16,1,0,0,1,0,0,44,0,0,1,1,0,1,1,1,2,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,17,0826_a_treatment,sb,
17,1,0,1,1,1,0,4,0,50,0,0,0,0,0,1,0,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,18,0826_a_treatment,bb,same
18,1,0,1,0,1,1,3,0,100,1,3,0,3,1,1,4,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,19,0826_a_treatment,bs,
19,1,0,1,0,1,1,86,0,100,0,1,0,1,0,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,20,0826_a_treatment,bs,
20,1,0,1,1,0,0,52,0,0,1,1,1,1,1,1,2,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,21,0826_a_treatment,bb,same
21,1,0,1,1,0,0,24,0,0,1,0,1,1,0,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,22,0826_a_treatment,bb,same
22,1,0,0,0,0,1,52,0,50,1,4,0,1,4,1,5,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,23,0826_a_treatment,ss,
23,1,0,1,0,1,1,77,0,100,0,1,0,1,0,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,24,0826_a_treatment,bs,
24,1,0,0,0,0,1,60,0,50,0,1,0,0,1,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,25,0826_a_treatment,ss,
25,1,0,0,0,0,1,17,0,50,0,2,0,0,2,1,2,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,26,0826_a_treatment,ss,
26,1,0,1,1,1,0,75,0,50,0,0,0,0,0,1,0,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,27,0826_a_treatment,bb,same
27,1,0,1,1,0,0,26,0,0,0,0,1,0,0,1,0,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,28,0826_a_treatment,bb,same
28,1,0,1,0,1,1,29,0,100,0,0,0,0,0,1,0,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,29,0826_a_treatment,bs,
